CandID,site
786266,UMN
786266,UMN
786266,UMN
786266,UMN
786266,UMN
738109,UMN
794032,UMN
794032,UMN
794032,UMN
794032,UMN
794032,UMN
794032,UMN
794032,UMN
794032,UMN
254818,UMN
960370,UMN
960370,UMN
960370,UMN
960370,UMN
960370,UMN
960370,UMN
960370,UMN
960370,UMN
960370,UMN
550616,UMN
859613,UMN
859613,UMN
859613,UMN
859613,UMN
859613,UMN
859613,UMN
859613,UMN
133561,UMN
755330,UMN
755330,UMN
755330,UMN
755330,UMN
755330,UMN
755330,UMN
755330,UMN
755330,UMN
755330,UMN
109504,UMN
801091,UMN
801091,UMN
801091,UMN
801091,UMN
801091,UMN
801091,UMN
801091,UMN
801091,UMN
801091,UMN
483449,UMN
231205,UMN
231205,UMN
231205,UMN
231205,UMN
231205,UMN
231205,UMN
231205,UMN
231205,UMN
231205,UMN
834602,UMN
597306,UMN
597306,UMN
597306,UMN
597306,UMN
597306,UMN
597306,UMN
597306,UMN
597306,UMN
130732,UMN
245640,UMN
176427,UMN
176427,UMN
176427,UMN
176427,UMN
176427,UMN
176427,UMN
176427,UMN
176427,UMN
176427,UMN
473796,UMN
749507,UMN
557806,UMN
557806,UMN
557806,UMN
557806,UMN
557806,UMN
557806,UMN
557806,UMN
557806,UMN
324799,UMN
408997,BSB
408997,BSB
408997,UMN
803304,UMN
765488,UMN
277066,UMN
277066,UMN
277066,UMN
277066,UMN
277066,UMN
277066,UMN
464439,UMN
346853,UMN
960432,UMN
960432,UMN
960432,UMN
960432,UMN
960432,UMN
960432,UMN
960432,UMN
960432,UMN
12873,UMN
322454,UMN
805063,UMN
805063,UMN
805063,UMN
805063,UMN
805063,UMN
805063,UMN
805063,UMN
805063,UMN
482995,UMN
627929,BSB
627929,BSB
627929,BSB
627929,BSB
627929,BSB
627929,BSB
627929,BSB
627929,UMN
246629,UMN
970141,UMN
621289,UMN
621289,UMN
621289,UMN
621289,UMN
621289,UMN
621289,UMN
621289,UMN
752402,UMN
465721,UMN
470431,UMN
470431,UMN
470431,UMN
470431,UMN
470431,UMN
470431,UMN
470431,UMN
470431,UMN
470431,UMN
821662,UMN
503205,UMN
812574,UMN
812574,UMN
812574,UMN
812574,UMN
812574,UMN
812574,UMN
812574,UMN
812574,UMN
812574,UMN
128075,UMN
119470,UMN
116056,UMN
116056,UMN
116056,UMN
116056,UMN
116056,UMN
116056,UMN
116056,UMN
116056,UMN
116056,UMN
683099,UMN
683099,UMN
116937,BSB
525310,UMN
20784,UMN
883901,UMN
883901,UMN
883901,UMN
883901,UMN
883901,UMN
883901,UMN
883901,UMN
883901,UMN
176707,UMN
413885,UMN
838827,UMN
838827,UMN
838827,UMN
838827,UMN
838827,UMN
838827,UMN
838827,UMN
358740,UMN
415786,UMN
406768,UMN
406768,UMN
406768,UMN
406768,UMN
406768,UMN
406768,UMN
406768,UMN
406768,UMN
406768,UMN
787525,UMN
787525,UMN
787525,UMN
944600,UMN
52157,UMN
940808,UMN
940808,UMN
940808,UMN
940808,UMN
940808,UMN
940808,UMN
940808,UMN
940808,UMN
415246,UMN
884169,UMN
939785,UMN
939785,UMN
939785,UMN
939785,UMN
939785,UMN
939785,UMN
939785,UMN
716557,UMN
176411,UMN
752770,UMN
752770,UMN
752770,UMN
752770,UMN
752770,UMN
752770,UMN
752770,UMN
752770,UMN
752770,UMN
787193,BSB
826398,UMN
826398,UMN
696871,UMN
1995,UMN
105040,UMN
105040,UMN
105040,UMN
105040,UMN
105040,UMN
105040,UMN
105040,UMN
105040,UMN
105040,UMN
321307,UMN
404241,UMN
544404,UMN
544404,UMN
544404,UMN
544404,UMN
544404,UMN
544404,UMN
544404,UMN
33730,UMN
879509,UMN
879509,UMN
879509,UMN
879509,UMN
879509,UMN
879509,UMN
879509,UMN
879509,UMN
879509,UMN
74192,UMN
457901,UMN
978698,UMN
978698,UMN
978698,UMN
978698,UMN
978698,UMN
978698,UMN
978698,UMN
978698,UMN
978698,UMN
389753,UMN
183117,UMN
295081,UMN
295081,UMN
295081,UMN
295081,UMN
295081,UMN
295081,UMN
295081,UMN
295081,UMN
295081,UMN
878949,UMN
878949,UMN
878949,UMN
376673,UMN
376673,UMN
704148,UMN
704148,UMN
824479,UMN
824479,UMN
824479,UMN
200919,UMN
219810,BSB
784300,UMN
966822,UMN
469900,UMN
469900,UMN
469900,UMN
469900,UMN
469900,UMN
469900,UMN
469900,UMN
469900,UMN
253648,UMN
672463,UMN
645257,UMN
645257,UMN
645257,UMN
645257,UMN
645257,UMN
645257,UMN
645257,UMN
621462,UMN
190197,UMN
468570,BSB
468570,BSB
468570,BSB
468570,BSB
468570,BSB
468570,BSB
468570,BSB
468570,UMN
816406,UMN
816406,UMN
511461,UMN
340317,UMN
401592,UMN
401592,UMN
401592,UMN
401592,UMN
401592,UMN
401592,UMN
401592,UMN
401592,UMN
401592,UMN
585845,UMN
423766,UMN
198202,UMN
198202,UMN
198202,UMN
198202,UMN
198202,UMN
198202,UMN
198202,UMN
198202,UMN
198202,UMN
974308,UMN
968444,UMN
284149,UMN
284149,UMN
284149,UMN
284149,UMN
284149,UMN
284149,UMN
284149,UMN
284149,UMN
284149,UMN
851956,UMN
147207,UMN
302746,UMN
302746,UMN
115072,UMN
115072,UMN
115072,UMN
903660,BSB
709477,UMN
709477,UMN
982354,UMN
633038,UMN
633038,UMN
633038,UMN
226960,UMN
950960,UMN
705639,UMN
705639,UMN
705639,UMN
705639,UMN
716733,BSB
898661,UMN
48138,UMN
993015,UMN
993015,UMN
993015,UMN
993015,UMN
993015,UMN
993015,UMN
993015,UMN
888780,UMN
375107,UMN
981854,UMN
981854,UMN
981854,UMN
981854,UMN
981854,UMN
981854,UMN
981854,UMN
981854,UMN
815216,UMN
964936,UMN
552990,UMN
552990,UMN
552990,UMN
552990,UMN
552990,UMN
552990,UMN
552990,UMN
836311,UMN
402441,UMN
198549,UMN
198549,UMN
198549,UMN
198549,UMN
198549,UMN
198549,UMN
198549,UMN
198549,UMN
265588,UMN
133077,UMN
415958,UMN
415958,UMN
175262,UMN
223289,UMN
726893,UMN
726893,UMN
726893,UMN
726893,UMN
726893,UMN
726893,UMN
726893,UMN
726893,UMN
6635,UMN
457548,UMN
282791,UMN
282791,UMN
282791,UMN
282791,UMN
225723,UMN
878596,UMN
381606,UMN
381606,UMN
381606,UMN
381606,UMN
381606,UMN
