category,kU_words_BCP,Ti_BCP,kU_words_WB,Ti_WB,kU_words_EIRLI_Dx-,Ti_EIRLI_Dx-,kU_words_EIRLI_Dx0,Ti_EIRLI_Dx0,kU_words_EIRLI_Dx+,Ti_EIRLI_Dx+
sounds,0.7280935468443989,21.73482407748973,1.036691028011567,15.26490026924586,1.087650256262165,14.549700201425884,1.0184409702627042,15.538441220148993,0.9757528718832773,16.21823066948818
animals,2.5088434005124074,22.602525444713446,2.8231676547041684,20.08601816558612,2.9195933783141874,19.42263508955689,2.7683642175000966,20.483647505056336,2.533103550533021,22.386055550295545
vehicles,0.8504041144326397,21.710246181455144,0.9195607103214845,20.07750273671475,0.9431266616169317,19.575825209311958,0.8930901393811753,20.67258596186905,0.8357988284719183,22.089624978070034
toys,1.0019479183414401,23.691328954723804,1.1899618122138589,19.94810042245434,1.226468972058731,19.354323892175163,1.1716214936018208,20.26036382787209,1.0858298151112313,21.86114011475745
food_drink,3.5334370336806917,25.378948318608156,4.263392773576012,21.033697955448197,4.390981373107966,20.422522494411286,4.176214482198499,21.472775463780902,3.8401363290101562,23.352013621858376
clothing,1.479413662098627,24.959189104506372,1.7062672160526235,21.64078698149886,1.7482932997293568,21.120578201510046,1.6639696058416766,22.190889320620954,1.5226164943043345,24.25099524025615
body_parts,1.4843300938940631,23.988071615512858,1.8337199345332214,19.417478058041276,1.8751529217448326,18.98843351947001,1.7975300745503608,19.8084121637288,1.6646932506539283,21.389055658995915
household,2.647886619041081,24.90191145714143,3.091832985724172,21.326325982147655,3.2016411268642755,20.594887285349955,3.059840997716451,21.549302132077926,2.7841501332318925,23.68314745274501
furniture_rooms,1.7187068582348703,25.32061180834243,1.944524235297145,22.380132054795826,2.006000274830909,21.69426879733069,1.907608570025153,22.813227961712897,1.7354219884261843,25.076730305328866
outside,1.6953267376968275,24.114060573245837,1.8747626895090646,21.806072775520153,NA,NA,NA,NA,NA,NA
places,1.128255329197338,25.714456673952224,1.223298894049489,23.716585473040524,NA,NA,NA,NA,NA,NA
people,1.5903495140328052,24.047364294059985,1.7439325521192015,21.92958326992344,1.7878894570605457,21.39042431723061,1.7013525440341584,22.47841827546608,1.56199408478726,24.483904575116775
games_routines,1.4926992353989108,22.086645645761777,1.760905107598719,18.72259835336244,1.7889926718864888,18.428649589262903,1.7164246731140962,19.20778673505106,1.5630847235942678,21.092087057280345
action_words,5.534295508430946,24.54352543210796,6.053843346341412,22.437171692271182,6.29334415411527,21.583298042131492,5.95184530157335,22.821682298104975,5.453053622828949,24.909185193287897
descriptive_words,3.309462011615959,25.104132260663135,3.644498717138236,22.796323582323833,3.815836097721668,21.772730778675957,3.5813684462008126,23.198163858114484,3.339845753674746,24.87575121091603
time_words,0.6324935659831302,25.019993884081057,0.6070702440617138,26.067799084894354,NA,NA,NA,NA,NA,NA
pronouns,1.1925844264726366,27.644767394345763,1.296708482209761,25.42492743763985,1.3604349261804933,24.233955210571548,1.2710261907887024,25.938662245423437,1.171517479996412,28.14189257172352
question_words,0.3602013819637539,25.62800089411205,0.36100943990354817,25.570636993575057,0.37670469512997395,24.505246306639307,0.3536974315504477,26.09926031569396,0.32604011751576717,28.313207004598322
locations,1.2583105299693071,27.248812605509894,1.41599755501599,24.214355250271822,1.484236966590175,23.101073886768983,1.3926333845460444,24.620598795892114,1.2870382155078608,26.640598093774383
quantifiers,0.8022375870312204,27.94524879988842,0.8648339372269858,25.922582360832514,0.9064626032208961,24.732105755438834,0.8493084199405775,26.396452030674723,0.7849787734832587,28.559662660340358
helping_verbs,0.9350063691152931,29.618754408364467,1.0487010695724466,26.407643532177495,1.0998530025848492,25.17947757745561,1.0284025457790484,26.92887540073478,0.9433146896301658,29.35788483050125
connecting_words,0.25073280479540805,31.557468448397383,0.2706230832618679,29.238054939506995,0.28231725874331404,28.026953121925125,0.26720879505801703,29.611647231114862,0.24456974258567699,32.352704356048406
